image,patch,SIFT,BRISK,ORB,AKAZE
RE_bush_69907702-cf29-4891-bc27-5647bc2070d7.jpg,RE_bush,427,267,720,63
RE_bush_029ab72b-172d-47e7-8e95-13380f0effb0.jpg,RE_bush,691,546,1281,119
RE_bush_7a676c11-1558-4149-8732-78d29f0aed11.jpg,RE_bush,670,626,1291,106
RE_bush_c5140533-4fef-40c1-adab-b637c21c63f0.jpg,RE_bush,399,266,886,103
RE_bush_00f1bf08-6c22-407b-8941-07d5f2361c7c.jpg,RE_bush,43,2,126,6
RE_bush_58cfe48e-bedf-43e8-96da-16e9d04317eb.jpg,RE_bush,203,120,389,31
RE_bush_7d25be41-33e2-44cb-a835-46e8b9ca22a3.jpg,RE_bush,330,171,641,60
RE_bush_6c2da077-7097-4f46-b4b8-fa90788e18f1.jpg,RE_bush,240,215,714,61
RE_bush_93bf3743-d0a1-4dd2-a4d3-c578d036ddc9.jpg,RE_bush,631,459,985,111
RE_bush_aff295f7-240e-407a-896f-8730ac6bedd1.jpg,RE_bush,648,572,1139,141
RE_bush_73244b97-afd9-402b-9107-f462891356bb.jpg,RE_bush,211,195,579,33
RE_bush_62442ad7-f02e-48fe-a8c6-fa06e42ee352.jpg,RE_bush,151,77,157,20
RE_bush_bcb6198e-5afc-4ffc-9f17-7c54fcb23b10.jpg,RE_bush,355,158,504,80
RE_bush_2bc3460f-bdea-4b31-a497-b1231b92dd93.jpg,RE_bush,171,144,532,58
RE_bush_924114ad-c4d7-4c2c-b18a-b2cc44ecd2a8.jpg,RE_bush,460,327,822,75
RE_bush_4cc51618-1e4b-4389-b806-013acbe375d4.jpg,RE_bush,117,71,505,19
RE_bush_e988627f-9ca1-4d60-bcf5-d60b39fe8735.jpg,RE_bush,115,70,243,22
RE_bush_e144c481-43b6-4a8d-99df-a89cfa691759.jpg,RE_bush,251,109,438,41
RE_bush_b069cf51-59a9-4205-bdb0-56cbcb50e136.jpg,RE_bush,524,324,777,101
RE_bush_9767d514-3b82-4283-891b-9161c3698186.jpg,RE_bush,475,392,855,82
RE_bush_0e8f94cb-e978-425d-80e2-7ac4bc64204d.jpg,RE_bush,68,24,105,4
RE_bush_c0a0c691-9f63-4bdb-8c54-80b41e21cc22.jpg,RE_bush,41,25,162,9
RE_bush_3aef12eb-0e38-4c6e-9314-0da29c13455f.jpg,RE_bush,144,92,360,25
RE_bush_5b625591-cf24-4aaf-8b6a-7556cd4c1ea6.jpg,RE_bush,297,191,566,41
RE_bush_d6851dcc-54a0-4faf-87b6-e21132f6193c.jpg,RE_bush,52,12,50,8
RE_bush_f515f1bf-7b2a-48c2-9447-4d957eaa9121.jpg,RE_bush,99,27,88,26
RE_bush_2a656d8d-bd7a-4a0b-a26d-bf167434e8de.jpg,RE_bush,738,587,1101,114
RE_bush_be71db34-6e4a-42e9-815b-b93113f82244.jpg,RE_bush,258,199,719,90
RE_bush_81c8d541-4047-4029-9d70-a7e3be501e3d.jpg,RE_bush,604,516,1255,124
RE_bush_ec255f4d-a93e-4bb9-9970-e62f24a6f4cb.jpg,RE_bush,742,567,1288,145
RE_bush_1a88a5d4-c3a1-4914-9205-8bdb4d82d448.jpg,RE_bush,298,198,592,75
RE_bush_6f658bd0-7775-487b-b7fa-5174cbae34c5.jpg,RE_bush,92,77,369,19
RE_bush_8879db26-cff8-4998-901f-51df5e01e86a.jpg,RE_bush,318,275,776,70
RE_bush_c665ad5e-f393-4feb-9996-544783147f08.jpg,RE_bush,171,97,234,37
RE_bush_02c5b3ae-ccca-4668-abcc-606399482ec8.jpg,RE_bush,549,387,1107,117
RE_bush_b7f07f6c-1413-4bfb-af4d-21cdafbf7dbb.jpg,RE_bush,460,348,887,96
RE_bush_a79153f1-2da5-4167-9ce8-830b408175c9.jpg,RE_bush,40,31,174,4
RE_bush_f8f8ae25-0b4a-4d4b-83ec-3e05d24fad91.jpg,RE_bush,567,385,970,99
RE_bush_316f2420-7b7d-4b29-926c-a27e7b7fdbe0.jpg,RE_bush,106,51,267,22
RE_bush_7d6588c2-ae1d-49aa-8599-995a41e310be.jpg,RE_bush,334,196,669,71
RE_bush_200bcbb2-2544-4f68-b7ec-8b89d43c26b3.jpg,RE_bush,228,137,462,43
RE_bush_2135ef37-d6db-4ec3-bb69-cc60f9e70bd6.jpg,RE_bush,178,99,410,28
RE_bush_765e89f3-b557-4182-97f8-dedcb5599833.jpg,RE_bush,560,466,1237,89
RE_bush_55d2df5f-beff-4ab7-8238-467ab2c7b719.jpg,RE_bush,830,798,1758,172
RE_bush_52709d9b-d0a2-43c1-9ecf-bfa0f98a22f2.jpg,RE_bush,618,397,934,111
RE_bush_dc78507a-9c31-41e5-8048-13a1669a6548.jpg,RE_bush,195,91,313,27
BR_fucus_4429d9a5-98ae-4678-b983-e0c1a7650b48.jpg,BR_fucus,37,3,25,3
BR_fucus_e227819f-3ef1-4e69-bb0a-83fd944d64df.jpg,BR_fucus,98,66,173,30
BR_fucus_ebebc2fb-3a39-489a-b9e2-5503ed23978d.jpg,BR_fucus,26,10,43,7
BR_fucus_b3b5b1d3-c41c-4b3c-bdea-6ee43ff4ded5.jpg,BR_fucus,78,6,23,13
BR_fucus_ba5b2536-0304-4d95-b35e-b313f00e902c.jpg,BR_fucus,56,11,57,13
BR_fucus_e7efd4d7-2339-4db5-a948-b0eb44331d93.jpg,BR_fucus,45,32,96,18
BR_fucus_16cd9ebc-16a7-4286-be9e-da348a2ae9f5.jpg,BR_fucus,35,9,54,13
RE_CCA_99174f7c-28ae-46c8-9446-298341416162.jpg,RE_CCA,34,0,6,5
RE_CCA_e1f49ee4-5eca-4ee8-8c68-c0e37557aace.jpg,RE_CCA,171,53,255,59
RE_CCA_728f0330-6982-4b67-9191-800d3db8e731.jpg,RE_CCA,69,24,92,23
RE_CCA_78cca762-16d2-4e09-92b8-cd150e530aba.jpg,RE_CCA,258,160,646,138
RE_CCA_b4f0876e-46e5-49f0-8ee0-695188e78336.jpg,RE_CCA,189,97,423,61
RE_CCA_6913ba26-6e59-44ba-99de-10989bbc09fc.jpg,RE_CCA,323,153,584,100
RE_CCA_a103e030-1897-4a90-ba11-8262f999326e.jpg,RE_CCA,95,21,103,18
RE_CCA_de7ee680-fd8a-4e38-83ee-b1d40bf4cfce.jpg,RE_CCA,112,33,111,32
RE_CCA_d39fb813-79d3-48b8-ae52-7f5d62c3ab90.jpg,RE_CCA,20,2,17,12
RE_CCA_493e133b-9063-47da-b294-79d1cdc3d21c.jpg,RE_CCA,325,239,768,104
RE_CCA_b1e5d90e-af24-46a5-8803-f8d0b35ea261.jpg,RE_CCA,334,145,423,69
RE_CCA_1296e687-14fe-4d12-8038-b5aa425b1343.jpg,RE_CCA,107,21,86,26
RE_CCA_d81c87a4-7c89-4dbe-a4b8-28e9172f8c47.jpg,RE_CCA,25,4,27,5
RE_CCA_c2c1b700-c251-414b-8f1e-5b4f0812b86d.jpg,RE_CCA,15,0,0,1
RE_CCA_7a101859-7bf5-4e85-b8f1-db6fc10833b5.jpg,RE_CCA,326,181,553,60
RE_CCA_cb8bdb95-9579-44db-ac3a-e42e8b81cabb.jpg,RE_CCA,191,104,388,58
RE_CCA_7702a91f-bec7-473f-83aa-2bcdb779be1f.jpg,RE_CCA,22,1,6,3
RE_CCA_93cd6229-5691-41e3-ab5e-bf3abd4aca40.jpg,RE_CCA,262,139,560,66
RE_CCA_7e11e7a9-336d-4448-b261-46f7aa47ea39.jpg,RE_CCA,64,21,115,21
RE_CCA_924fda07-0332-4ffe-8264-b0e6dc78f752.jpg,RE_CCA,205,124,553,101
RE_CCA_5b70202b-a955-4121-8807-986787dc90f5.jpg,RE_CCA,136,91,354,71
RE_CCA_94362d97-2ea1-45a0-b8dc-fe310374a08f.jpg,RE_CCA,92,11,90,14
RE_CCA_c3a3228a-7877-4d53-bca9-2120151e1eff.jpg,RE_CCA,16,0,4,4
RE_CCA_df33ddce-528b-4e98-92ae-fcd03b8cb6be.jpg,RE_CCA,144,87,384,52
RE_CCA_29aba2b8-dbc3-473d-ba48-f5c045174ca5.jpg,RE_CCA,75,16,87,22
RE_CCA_30a15245-9522-4b6c-a3ce-39ef0a5cae6e.jpg,RE_CCA,215,71,269,41
RE_CCA_9aec2bb1-9ec2-41f9-96e8-e50844f2a780.jpg,RE_CCA,247,117,557,61
RE_CCA_f95ccd33-52ff-4518-abf1-51fa2d476057.jpg,RE_CCA,53,26,133,13
RE_CCA_d31db6e2-41dc-4f80-9628-b3003120f5ff.jpg,RE_CCA,215,101,304,55
RE_CCA_de1e51e5-ed88-4f8a-8754-9adbc1adb6ab.jpg,RE_CCA,924,650,1690,123
RE_CCA_85603e4b-494c-43b6-ab17-957c128132d4.jpg,RE_CCA,182,172,657,82
RE_CCA_8c6b6283-8816-4432-add2-fe902dd12de0.jpg,RE_CCA,38,1,30,6
RE_CCA_80a7b943-f836-4ee4-8d77-ee5f387af06c.jpg,RE_CCA,11,0,0,0
RE_CCA_0e39d299-1e3f-4274-bb6c-12935e5beeb3.jpg,RE_CCA,106,32,232,23
RE_CCA_63c79aef-b210-4db1-afe4-4ceab1517696.jpg,RE_CCA,169,61,298,74
RE_CCA_fdea4a7b-30bb-41ad-bcdb-915fa8a91095.jpg,RE_CCA,139,68,378,19
RE_CCA_8577702d-fe49-481d-9d35-c0f13ddcf6d8.jpg,RE_CCA,859,506,1382,126
RE_CCA_ebc6e97f-b294-4627-a0bd-31b04b172163.jpg,RE_CCA,325,144,588,44
RE_CCA_a2aa64e6-d85a-4287-986e-fd0b807ce08c.jpg,RE_CCA,102,29,105,35
RE_CCA_ec3ea957-d908-49d5-a7ab-79b929ff7c54.jpg,RE_CCA,28,0,2,0
RE_CCA_71be32f7-0312-4fec-a84f-62b85a22e75b.jpg,RE_CCA,151,103,273,79
RE_CCA_824c49e4-6dfd-4686-988b-d1f3ea5d1389.jpg,RE_CCA,30,0,0,1
RE_CCA_00afcb90-47d3-4c79-8a0b-2c768face152.jpg,RE_CCA,188,101,408,78
RE_CCA_2291f90f-0f44-4db8-8bb1-8621a5076728.jpg,RE_CCA,92,38,136,34
RE_CCA_6cc9b4b5-d13f-461b-a288-f59e065f6e86.jpg,RE_CCA,365,190,695,63
